indexNumber,time,latitude,longitude,resultNumber
0,2021-06-21 01:02:30.714856,-19.572295,147.12799,8
1,2021-06-21 01:02:30.715212,-19.572295,147.12801000000002,8
2,2021-06-21 01:02:30.816261,-19.572295,147.12803000000002,6
3,2021-06-21 01:02:30.919454,-19.572295,147.12805000000003,10
4,2021-06-21 01:02:31.023555,-19.572295,147.12807000000004,8
5,2021-06-21 01:02:31.137127,-19.572295,147.12809000000004,9
6,2021-06-21 01:02:31.239212,-19.572295,147.12811000000005,5
7,2021-06-21 01:02:31.343417,-19.572295,147.12813000000006,3
8,2021-06-21 01:02:31.444654,-19.572295,147.12815000000006,5
9,2021-06-21 01:02:31.549799,-19.572295,147.12817000000007,11
10,2021-06-21 01:02:31.654826,-19.572295,147.12819000000007,5
11,2021-06-21 01:02:31.759241,-19.572295,147.12821000000008,3
12,2021-06-21 01:02:31.859828,-19.572295,147.1282300000001,13
13,2021-06-21 01:02:31.962123,-19.572295,147.1282500000001,6
14,2021-06-21 01:02:32.066353,-19.572295,147.1282700000001,10
15,2021-06-21 01:02:32.170837,-19.572295,147.1282900000001,6
16,2021-06-21 01:02:32.274500,-19.572295,147.1283100000001,6
17,2021-06-21 01:02:32.376025,-19.572295,147.12833000000012,8
18,2021-06-21 01:02:32.477513,-19.572295,147.12835000000013,6
19,2021-06-21 01:02:32.577878,-19.572295,147.12837000000013,6
20,2021-06-21 01:02:32.679598,-19.572295,147.12839000000014,10
21,2021-06-21 01:02:32.781854,-19.572295,147.12841000000014,11
22,2021-06-21 01:02:32.885352,-19.572295,147.12843000000015,10
0,2021-06-21 01:14:55.860946,-19.572275,147.12799,8
1,2021-06-21 01:14:55.861373,-19.572275,147.12801000000002,9
2,2021-06-21 01:14:55.967034,-19.572275,147.12803000000002,7
3,2021-06-21 01:14:56.069845,-19.572275,147.12805000000003,3
4,2021-06-21 01:14:56.171005,-19.572275,147.12807000000004,10
5,2021-06-21 01:14:56.271892,-19.572275,147.12809000000004,6
6,2021-06-21 01:14:56.373923,-19.572275,147.12811000000005,8
7,2021-06-21 01:14:56.475318,-19.572275,147.12813000000006,7
8,2021-06-21 01:14:56.577520,-19.572275,147.12815000000006,7
9,2021-06-21 01:14:56.682704,-19.572275,147.12817000000007,7
10,2021-06-21 01:14:56.787516,-19.572275,147.12819000000007,11
11,2021-06-21 01:14:56.888119,-19.572275,147.12821000000008,10
12,2021-06-21 01:14:56.989056,-19.572275,147.1282300000001,15
13,2021-06-21 01:14:57.091853,-19.572275,147.1282500000001,13
14,2021-06-21 01:14:57.196508,-19.572275,147.1282700000001,8
15,2021-06-21 01:14:57.301507,-19.572275,147.1282900000001,7
16,2021-06-21 01:14:57.404083,-19.572275,147.1283100000001,6
17,2021-06-21 01:14:57.504666,-19.572275,147.12833000000012,7
18,2021-06-21 01:14:57.605042,-19.572275,147.12835000000013,8
0,2021-06-21 01:12:32.460543,-19.572315,147.12799,8
1,2021-06-21 01:12:32.460985,-19.572315,147.12801000000002,9
2,2021-06-21 01:12:32.566703,-19.572315,147.12803000000002,8
3,2021-06-21 01:12:32.668712,-19.572315,147.12805000000003,8
4,2021-06-21 01:12:32.769732,-19.572315,147.12807000000004,5
5,2021-06-21 01:12:32.871027,-19.572315,147.12809000000004,7
6,2021-06-21 01:12:32.975404,-19.572315,147.12811000000005,14
7,2021-06-21 01:12:33.075904,-19.572315,147.12813000000006,2
8,2021-06-21 01:12:33.180038,-19.572315,147.12815000000006,10
9,2021-06-21 01:12:33.281054,-19.572315,147.12817000000007,10
10,2021-06-21 01:12:33.385653,-19.572315,147.12819000000007,6
11,2021-06-21 01:12:33.489522,-19.572315,147.12821000000008,6
12,2021-06-21 01:12:33.593319,-19.572315,147.1282300000001,11
13,2021-06-21 01:12:33.693811,-19.572315,147.1282500000001,5
