indexNumber,time,latitude,longitude,resultNumber
0,2021-06-21 01:20:46.776842,-19.572515,147.12799,8
1,2021-06-21 01:20:46.777251,-19.572515,147.12801000000002,12
2,2021-06-21 01:20:46.879097,-19.572515,147.12803000000002,11
3,2021-06-21 01:20:46.983945,-19.572515,147.12805000000003,8
4,2021-06-21 01:20:47.086630,-19.572515,147.12807000000004,9
5,2021-06-21 01:20:47.189724,-19.572515,147.12809000000004,6
6,2021-06-21 01:20:47.293380,-19.572515,147.12811000000005,5
7,2021-06-21 01:20:47.397839,-19.572515,147.12813000000006,11
8,2021-06-21 01:20:47.503403,-19.572515,147.12815000000006,12
9,2021-06-21 01:20:47.605975,-19.572515,147.12817000000007,12
10,2021-06-21 01:20:47.706451,-19.572515,147.12819000000007,11
11,2021-06-21 01:20:47.823327,-19.572515,147.12821000000008,12
12,2021-06-21 01:20:47.927239,-19.572515,147.1282300000001,10
13,2021-06-21 01:20:48.027926,-19.572515,147.1282500000001,7
14,2021-06-21 01:20:48.129002,-19.572515,147.1282700000001,11
15,2021-06-21 01:20:48.232294,-19.572515,147.1282900000001,7
16,2021-06-21 01:20:48.336441,-19.572515,147.1283100000001,6
17,2021-06-21 01:20:48.441833,-19.572515,147.12833000000012,8
18,2021-06-21 01:20:48.542325,-19.572515,147.12835000000013,7
19,2021-06-21 01:20:48.642976,-19.572515,147.12837000000013,4
20,2021-06-21 01:20:48.743589,-19.572515,147.12839000000014,11
21,2021-06-21 01:20:48.846932,-19.572515,147.12841000000014,7
22,2021-06-21 01:20:48.947852,-19.572515,147.12843000000015,4
23,2021-06-21 01:20:49.049760,-19.572515,147.12845000000016,11
24,2021-06-21 01:20:49.153919,-19.572515,147.12847000000016,8
25,2021-06-21 01:20:49.254461,-19.572515,147.12849000000017,9
26,2021-06-21 01:20:49.355546,-19.572515,147.12851000000018,9
27,2021-06-21 01:20:49.460304,-19.572515,147.12853000000018,5
28,2021-06-21 01:20:49.564134,-19.572515,147.1285500000002,9
29,2021-06-21 01:20:49.664857,-19.572515,147.1285700000002,9
30,2021-06-21 01:20:49.769864,-19.572515,147.1285900000002,9
31,2021-06-21 01:20:49.871552,-19.572515,147.1286100000002,9
32,2021-06-21 01:20:49.972255,-19.572515,147.12863000000021,11
33,2021-06-21 01:20:50.077025,-19.572515,147.12865000000022,6
34,2021-06-21 01:20:50.179090,-19.572515,147.12867000000023,6
35,2021-06-21 01:20:50.283658,-19.572515,147.12869000000023,8
36,2021-06-21 01:20:50.384214,-19.572515,147.12871000000024,5
37,2021-06-21 01:20:50.489317,-19.572515,147.12873000000025,6
38,2021-06-21 01:20:50.594089,-19.572515,147.12875000000025,7
39,2021-06-21 01:20:50.694809,-19.572515,147.12877000000026,12
40,2021-06-21 01:20:50.795636,-19.572515,147.12879000000027,13
41,2021-06-21 01:20:50.896122,-19.572515,147.12881000000027,8
42,2021-06-21 01:20:50.996735,-19.572515,147.12883000000028,7
43,2021-06-21 01:20:51.097577,-19.572515,147.12885000000028,8
44,2021-06-21 01:20:51.198911,-19.572515,147.1288700000003,7
45,2021-06-21 01:20:51.304502,-19.572515,147.1288900000003,8
0,2021-06-21 01:22:24.620665,-19.572535000000002,147.12799,8
1,2021-06-21 01:22:24.621069,-19.572535000000002,147.12801000000002,6
2,2021-06-21 01:22:24.724551,-19.572535000000002,147.12803000000002,7
